VID,EID,ASF,STWMV,STPPT,STSLIDES,SLID,SLWMV,SLTN,SLSLIDES,SLPPT,EVTID,Event,Title,Speakers
0001,0001,0001_w.asf,hd,✅,✅,1,hd,✅,✅,✅,1,IT Forum 2004,"Practicing Better Than Best, Part 1 (Preconf)","Steve Riley, Jesper M. Johansson"
0002,0001,0002_w.asf,hd,✅,✅,2,hd,✅,✅,✅,1,IT Forum 2004,"Practicing Better Than Best, Part 2 (Preconf)","Steve Riley, Jesper M. Johansson"
0003,0001,0003_w.asf,hd,✅,✅,3,hd,✅,✅,✅,1,IT Forum 2004,"Practicing Better Than Best, Part 3 (Preconf)","Steve Riley, Jesper M. Johansson"
0004,0001,0004_w.asf,hd,✅,✅,4,hd,✅,✅,✅,1,IT Forum 2004,"Practicing Better Than Best, Part 4 (Preconf)","Steve Riley, Jesper M. Johansson"
0005,0001,0005_w.asf,hd,✅,✅,5,hd,✅,✅,✅,1,IT Forum 2004,"Practicing Better Than Best, Part 5 (Preconf)","Steve Riley, Jesper M. Johansson"
0006,0002,0006_w.asf,hd,✅,✅,6,hd,✅,✅,✅,1,IT Forum 2004,Managing Dynamic Storage Services - Lessons Learned,Mark Licata
0007,0003,0007_w.asf,hd,✅,✅,7,,,,,1,IT Forum 2004,Microsoft Identity Management Strategy and Roadmap,"Steve Plank, Andreas Luther"
0008,0004,0008_w.asf,hd,✅,✅,8,,,,,1,IT Forum 2004,In-depth Look at Client Security Enhancements in Windows XP SP 2,Ryan Burkhardt
0009,0005,0009_w.asf,hd,✅,✅,18,hd,✅,✅,✅,1,IT Forum 2004,Holistic Security and Digital Trust,Rafal Lukawiecki
0010,0005,0010_w.asf,hd,✅,✅,19,hd,✅,✅,✅,1,IT Forum 2004,"Active Security Common Practices, Part 1",Rafal Lukawiecki
0011,0005,0011_w.asf,hd,✅,✅,20,hd,✅,✅,✅,1,IT Forum 2004,"Active Security Common Practices, Part 2",Rafal Lukawiecki
0012,0005,0012_w.asf,hd,✅,✅,21,hd,✅,✅,✅,1,IT Forum 2004,"Cryptography and PKI for Passive Security, Part 1",Rafal Lukawiecki
0013,0005,0013_w.asf,hd,✅,✅,22,hd,✅,✅,✅,1,IT Forum 2004,"Cryptography and PKI for Passive Security, Part 2",Rafal Lukawiecki
0014,,,,,,,,,,,,,,
0015,,,,,,,,,,,,,,
0016,0008,0016_w.asf,hd,✅,✅,24,,,,,1,IT Forum 2004,Enterprise Deployment and Configuration of Windows XP SP 2,"Douglas G. Hill, Kalpit Jain"
0017,,,,,,,,,,,,,,
0018,0010,0018_w.asf,hd,✅,✅,25,,,,,1,IT Forum 2004,Microsoft Operations Manager 2005: Deployment and Upgrade Best Practices,Travis Wright
0019,,,,,,,,,,,,,,
0020,0012,0020_w.asf,hd,✅,✅,31,,,,,1,IT Forum 2004,What Nobody Ever Told You about Securing SQL Server,Jasper M. Johannson
0021,,,,,,,,,,,,,,
0022,0014,0022_w.asf,hd,✅,✅,26,hd,✅,✅,✅,1,IT Forum 2004,"Group Policy Tips, Tricks and Best Practices",Mark Cribben
0023,0015,0023_w.asf,hd,✅,✅,17,hd,✅,✅,✅,1,IT Forum 2004,Cryptography Overview,Rafal Lukawiecki
0024,0016,0024_w.asf,hd,✅,✅,9,hd,✅,✅,✅,1,IT Forum 2004,TCP-IP for Security Administrators,Steve Riley
0025,0017,0025_w.asf,hd,✅,✅,10,,,,,1,IT Forum 2004,Exchange Server 2003 Cluster Deployments Best Practices,Scott Schnoll
0026,,,,,,,,,,,,,,
0027,0019,0027_w.asf,hd,✅,✅,11,,,,,1,IT Forum 2004,Building High Security Networks,"Paul Cullimore, Graham Calladine"
0028,,,,,,,,,,,,,,
0029,0021,0029_w.asf,hd,✅,✅,32,,,,,1,IT Forum 2004,Live Communications Server 2005: Overview and Futures,Dennis Karlinsky
0030,0022,0030_w.asf,hd,✅,✅,12,hd,✅,✅,✅,1,IT Forum 2004,"Stretching Directory Boundaries: Cross-Platform Identity Management, Authentication and Security ","John Craddock, Sally Storey"
0031,0022,0031_w.asf,hd,✅,✅,13,hd,✅,✅,✅,1,IT Forum 2004,"Stretching Directory Boundaries: Cross-Platform Identity Management, Authentication and Security ","John Craddock, Sally Storey"
0032,0022,0032_w.asf,hd,✅,✅,14,hd,✅,✅,✅,1,IT Forum 2004,"Stretching Directory Boundaries: Cross-Platform Identity Management, Authentication and Security ","John Craddock, Sally Storey"
0033,0022,0033_w.asf,hd,✅,✅,15,hd,✅,✅,✅,1,IT Forum 2004,"Stretching Directory Boundaries: Cross-Platform Identity Management, Authentication and Security ","John Craddock, Sally Storey"
0034,0022,0034_w.asf,hd,✅,✅,16,hd,✅,✅,✅,1,IT Forum 2004,"Stretching Directory Boundaries: Cross-Platform Identity Management, Authentication and Security ","John Craddock, Sally Storey"
